Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Josh Hawkins,House,10,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Josh Hawkins supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Josh Hawkins,160,Yes,josh-hawkins,No
Lataisha Jackson,House,11,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Lataisha Jackson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lataisha Jackson,200,Yes,lataisha-jackson,No
Clay Deweese,House,12,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Clay Deweese supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Clay Deweese,200,Yes,clay-deweese,No
Steve Massengill,House,13,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Steve Massengill supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Steve Massengill,200,Yes,steve-massengill,No
Sam Creekmore IV,House,14,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Sam Creekmore IV supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Sam Creekmore IV,200,Yes,sam-creekmore-iv,No
Beth Luther Waldo,House,15,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,152.5,Beth Luther Waldo supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Beth Luther Waldo,160,Yes,beth-luther-waldo,No
Rickey Thompson,House,16,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Rickey Thompson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Rickey Thompson,200,Yes,rickey-thompson,No
Shane Aguirre,House,17,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Shane Aguirre supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Shane Aguirre,200,Yes,shane-aguirre,No
Jerry Turner,House,18,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Jerry Turner supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jerry Turner,200,Yes,jerry-turner,No
Randy Boyd,House,19,Republican,SUPPORT,OPPOSE,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,85,B,Supporter,170,Randy Boyd has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Randy Boyd,200,Yes,randy-boyd,No
Rodney Hall,House,20,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,152.5,Rodney Hall supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Rodney Hall,160,Yes,rodney-hall,No
Donnie Bell,House,21,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Donnie Bell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Donnie Bell,200,Yes,donnie-bell,No
Justin Crosby,House,22,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,130,Justin Crosby supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Justin Crosby,130,Yes,justin-crosby,No
Perry Bailey,House,23,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Perry Bailey supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Perry Bailey,160,Yes,perry-bailey,No
Jeff Hale,House,24,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Jeff Hale supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeff Hale,200,Yes,jeff-hale,No
Otha Williams,House,26,Democrat,N/A,N/A,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,152.5,Otha Williams supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Otha Williams,160,Yes,otha-williams,No
Kenji Holloway,House,27,Democrat,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Kenji Holloway supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kenji Holloway,200,Yes,kenji-holloway,No
W.I. Harris,House,28,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,W.I. Harris supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,W.I. Harris,160,Yes,wi-harris,No
Robert Sanders,House,29,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Robert Sanders supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Robert Sanders,200,Yes,robert-sanders,No
Tracey Rosebud,House,30,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Tracey Rosebud supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Tracey Rosebud,200,Yes,tracey-rosebud,No
Otis Anthony,House,31,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,ABSENT,SUPPORT,ABSENT,SUPPORT,SUPPORT,89,B,Supporter,177.5,Otis Anthony has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Otis Anthony,200,Yes,otis-anthony,No
Solomon Osborne,House,32,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Solomon Osborne supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Solomon Osborne,200,Yes,solomon-osborne,No
Jim Estrada,House,33,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Jim Estrada supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jim Estrada,160,Yes,jim-estrada,No
Kevin Horan,House,34,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Kevin Horan supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kevin Horan,200,Yes,kevin-horan,No
Joey Hood,House,35,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Joey Hood supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Joey Hood,200,Yes,joey-hood,No
Karl Gibbs,House,36,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Karl Gibbs supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Karl Gibbs,200,Yes,karl-gibbs,No
Andy Boyd,House,37,Republican,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Andy Boyd supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Andy Boyd,200,Yes,andy-boyd,No
Cheikh Taylor,House,38,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,93,A,Strong Supporter,185,Cheikh Taylor supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Cheikh Taylor,200,Yes,cheikh-taylor,No
Dana McLean,House,39,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,80,B,Supporter,160,Dana McLean has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Dana McLean,200,Yes,dana-mclean,No
Hester Jackson McCray,House,40,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Hester Jackson McCray supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Hester Jackson McCray,200,Yes,hester-jackson-mccray,No
Kabir Karriem,House,41,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Kabir Karriem supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kabir Karriem,200,Yes,kabir-karriem,No
Carl Mickens,House,42,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Carl Mickens supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Carl Mickens,200,Yes,carl-mickens,No
Rob Roberson,House,43,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Rob Roberson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Rob Roberson,200,Yes,rob-roberson,No
Scott Bounds,House,44,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,93,A,Strong Supporter,185,Scott Bounds supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Scott Bounds,200,Yes,scott-bounds,No
Keith Jackson,House,45,Democrat,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Keith Jackson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Keith Jackson,160,Yes,keith-jackson,No
Karl Oliver,House,46,Republican,ABSENT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,79,B,Supporter,157.5,Karl Oliver has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Karl Oliver,200,Yes,karl-oliver,No
Bryant Clark,House,47,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Bryant Clark supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Bryant Clark,200,Yes,bryant-clark,No
Jason White,House,48,Republican,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,94,A,Strong Supporter,187.5,Jason White supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jason White,200,Yes,jason-white,No
Willie Bailey,House,49,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Willie Bailey supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Willie Bailey,200,Yes,willie-bailey,No
"John W. Hines, Sr.",House,50,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,"John W. Hines, Sr. supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","John W. Hines, Sr.",200,Yes,john-w-hines-sr,No
Timaka James-Jones,House,51,Democrat,N/A,N/A,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,152.5,Timaka James-Jones supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Timaka James-Jones,160,Yes,timaka-jamesjones,No
Bill Kinkade,House,52,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,ABSENT,ABSENT,SUPPORT,64,C,Mixed / Persuadable,127.5,Bill Kinkade has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Bill Kinkade,200,Yes,bill-kinkade,No
Vince Mangold,House,53,Republican,SUPPORT,SUPPORT,SUPPORT,OPPOSE,OPPOSE,OPPOSE,OPPOSE,SUPPORT,SUPPORT,78,B,Supporter,155,Vince Mangold has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Vince Mangold,200,Yes,vince-mangold,No
Kevin Ford,House,54,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,88,B,Supporter,175,Kevin Ford has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Kevin Ford,200,Yes,kevin-ford,No
Oscar Denton,House,55,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Oscar Denton supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Oscar Denton,200,Yes,oscar-denton,No
Clay Mansell,House,56,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Clay Mansell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Clay Mansell,160,Yes,clay-mansell,No
Lawrence Blackmon,House,57,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Lawrence Blackmon supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lawrence Blackmon,200,Yes,lawrence-blackmon,No
Jonathan McMillan,House,58,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Jonathan McMillan supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jonathan McMillan,160,Yes,jonathan-mcmillan,No
Brent Powell,House,59,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Brent Powell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brent Powell,200,Yes,brent-powell,No
Fred Shanks,House,60,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Fred Shanks supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Fred Shanks,200,Yes,fred-shanks,No
Gene Newman,House,61,Republican,SUPPORT,OPPOSE,SUPPORT,SUPPORT,OPPOSE,OPPOSE,SUPPORT,SUPPORT,SUPPORT,78,B,Supporter,155,Gene Newman has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Gene Newman,200,Yes,gene-newman,No
Lance Varner,House,62,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Lance Varner supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lance Varner,160,Yes,lance-varner,No
Stephanie Foster,House,63,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Stephanie Foster supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Stephanie Foster,200,Yes,stephanie-foster,No
Shanda Yates,House,64,Independent,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Shanda Yates supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Shanda Yates,200,Yes,shanda-yates,No
Christopher Bell,House,65,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Christopher Bell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Christopher Bell,200,Yes,christopher-bell,No
Fabian Nelson,House,66,Democrat,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Fabian Nelson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Fabian Nelson,160,Yes,fabian-nelson,No
Earle Banks,House,67,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,96,A,Strong Supporter,192.5,Earle Banks supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Earle Banks,200,Yes,earle-banks,No
Zakiya Summers,House,68,Democrat,SUPPORT,ABSENT,OPPOSE,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,ABSENT,85,B,Supporter,170,Zakiya Summers has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Zakiya Summers,200,Yes,zakiya-summers,No
Tamarra Butler-Washington,House,69,Democrat,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Tamarra Butler-Washington supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Tamarra Butler-Washington,160,Yes,tamarra-butlerwashington,No
Bo Brown,House,70,Democrat,OPPOSE,ABSENT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,ABSENT,SUPPORT,55,D,Weak / Inconsistent,110,Bo Brown has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Bo Brown,200,Yes,bo-brown,No
Ronnie Crudup,House,71,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,89,B,Supporter,177.5,Ronnie Crudup has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Ronnie Crudup,200,Yes,ronnie-crudup,No
Justis Gibbs,House,72,Democrat,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,96,A,Strong Supporter,177.5,Justis Gibbs supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Justis Gibbs,185,Yes,justis-gibbs,No
Jill Ford,House,73,Republican,OPPOSE,OPPOSE,SUPPORT,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ABSENT,SUPPORT,33,F,Opposed,65,Jill Ford is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Jill Ford,200,Yes,jill-ford,No
Lee Yancey,House,74,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A+,Champion Leader,300,Lee Yancey is classified as a Champion Leader based on 3MA’s designation as a primary medical cannabis bill author or legislative champion.,Lee Yancey,200,Yes,lee-yancey,Yes
Celeste Hurst,House,75,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Celeste Hurst supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Celeste Hurst,160,Yes,celeste-hurst,No
"Gregory Holloway, Sr.",House,76,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,"Gregory Holloway, Sr. supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","Gregory Holloway, Sr.",200,Yes,gregory-holloway-sr,No
Price Wallace,House,77,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Price Wallace supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Price Wallace,200,Yes,price-wallace,No
Randy Rushing,House,78,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Randy Rushing supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Randy Rushing,200,Yes,randy-rushing,No
Mark Tullos,House,79,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Mark Tullos supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Mark Tullos,200,Yes,mark-tullos,No
